2025-12-10 23:29:58.047 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulations
2025-12-10 23:29:58.047 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
2025-12-10 23:39:40.875 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:39:40.876 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:39:40.901 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulations
2025-12-10 23:39:40.902 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
2025-12-10 23:39:41.275 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:39:41.280 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:40:09.965 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:40:09.967 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:40:09.994 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulations
2025-12-10 23:40:09.995 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
2025-12-10 23:40:10.009 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:40:10.014 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:50:49.031 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:50:49.032 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:50:49.056 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulations
2025-12-10 23:50:49.056 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
2025-12-10 23:50:49.392 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:50:49.397 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-10 23:52:53.658 | INFO     | backend.modules.db_tools:initialize_db:155 - La base de données SQLite existe.
2025-12-10 23:52:53.660 | INFO     | backend.modules.db_tools:initialize_db:160 - Les tables de la BDD ont été vérifiées/créées.
2025-12-10 23:52:53.683 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: congratulations
2025-12-10 23:52:53.683 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}
2025-12-10 23:52:53.698 | INFO     | backend.modules.db_tools:write_db:62 - Conversion de l'entrée: DataFrame -> List[dict].
2025-12-10 23:52:53.702 | SUCCESS  | backend.modules.db_tools:write_db:89 - Écriture de 1 citation(s) dans la BDD réussie.
2025-12-11 13:52:30.307 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: I'll be back
2025-12-11 13:52:30.307 | INFO     | API_IA.sentiment_api:analyse_sentiment:34 - Resultats IA: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2025-12-11 13:52:34.818 | INFO     | API_IA.sentiment_api:analyse_sentiment:31 - Analyse du texte: Elementary, my dear Watson
